questions,answers
[Shopee Live] Apa itu Lelang di Shopee Live?,"[Shopee Live] Apa itu Lelang di Shopee Live?Aktivitas lelang di Shopee Live memungkinkan Anda untuk memenangkan penawaran produk yang ditetapkan oleh host/Penjual.Setelah Penjual memulai lelang, Kartu Lelang akan muncul di layar Anda. Kartu ini menunjukkan jenis lelang dan penghitung waktu mundur yang sudah ditentukan oleh Penjual sebagai batas akhir Anda untuk melakukan penawaran.Untuk berpartisipasi, pilih Gabung Sekarang setelah kartu lelang berubah menjadi oranye.
Setelah Lelang selesai, urutan pemenang dapat dilihat dengan memilih ikon Lelang. Nama pemenang yang dimunculkan hanya 10 orang yang tercepat.
️⚠️ Catatan:Beberapa Lelang hanya terbuka untuk Pengikut toko. Ikuti toko untuk berpartisipasi.Pemenang Lelang ditetapkan berdasarkan kecepatan Penawar.Apabila Anda menjadi pemenangnya, Penjual akan menghubungi Anda secara terpisah melalui chat atau sesuai ketentuan yang berlaku dari Penjual.
Apakah artikel ini berguna?YaTidak"
[Grosir] Apa itu Produk Grosir?,"[Grosir] Apa itu Produk Grosir?Produk Grosir mengacu pada barang yang tersedia dengan harga lebih rendah saat membeli dalam jumlah besar. Anda dapat mengenali produk yang menawarkan harga grosir dengan tanda Grosir di bawah gambar produk hasil pencarian.Untuk mencari Produk Grosir di pencarian, Anda dapat memilih Filter > Grosir di bawah Program Promosi > Terapkan.
Harga Produk Grosir bergantung pada jumlah produk yang ingin Anda bel. Biasanya, semakin banyak Anda membeli jumlah produk, maka semakin murah harga masing-masing produk. Anda dapat melihat tingkatan harga yang berbeda di halaman produk dengan memilih Harga Grosir > Kuantitas dan Harga Satuan.
Tambahkan jumlah produk ke keranjang Anda dan harga grosir akan berlaku secara otomatis.

⚠️ Catatan:Jika suatu produk menawarkan promo lain, maka label grosir dan harga akan disembunyikan sementara hingga promo berakhir. Anda dapat menghubungi Penjual jika ingin membeli dengan harga grosir.Jika Anda ingin membeli produk dalam jumlah besar yang tidak menawarkan diskon grosir, Anda juga dapat melakukan penawaran kepada Penjual secara langsung melalui Chat Shopee.﻿Apakah artikel ini berguna?YaTidakArtikel Terkait[Voucher] Bagaimana cara menggunakan Voucher saat checkout?"
[Shopee Barokah] Apa itu Shopee Barokah?,"[Shopee Barokah] Apa itu Shopee Barokah?Shopee Barokah merupakan fitur yang disediakan untuk produk-produk halal berdasarkan sertifikasi halal dari BPJPH (Badan Penyelenggara Jaminan Produk Halal) yang mendukung potensi industrial Islami di Indonesia sesuai dengan komitmen #ShopeeAdaUntukSemua. Untuk menjamin kehalalan produk Shopee Barokah, Shopee melakukan pengecekan sertifikat halal melalui situs LPPOM MUI dan memastikan adanya logo halal resmi pada produk yang dijual oleh Penjual, dan pengecekan praktik halal pada situs Penyedia (Perusahaan Penjual) atau artikel terpercaya. Selain itu, Shopee Barokah akan menghadirkan program promosi menarik di hari Jumat terakhir setiap bulannya.Shopee Barokah menghadirkan:Jaminan Produk Halal
Pilihan produk Muslim di Shopee Barokah terjamin kehalalannya yang didasarkan pada sertifikasi halal dari BPJPH (Badan Penyelenggara Jaminan Produk Halal). Transaksi Islami
Di Shopee Barokah, Penjual dan Pembeli dapat bertransaksi dengan lebih nyaman menggunakan akad dan pembayaran yang disesuaikan dengan prinsip Islam. Beramal melalui ZISWAF
Melalui Shopee Barokah, Anda dapat berperan serta mengatasi berbagai permasalahan ekonomi serta sosial melalui instrumen ZISWAF (Zakat, Infaq, Sedekah, dan Wakaf), termasuk upaya mengurangi tingkat kemiskinan, distribusi pendapatan yang merata, hingga jaminan sosial. Pelajari lebih lanjut mengenai cara beramal melalui ZISWAF.
Prinsip Islam dalam fitur Shopee Barokah:Pembeli dapat menemukan dan membeli produk-produk halal dan bertransaksi sesuai dengan prinsip Islam. dengan menggunakan akad, diantaranya akad jual beli (ba'i), pinjaman ('ariyah), wadiah, ju’alah, hadiah. Berikut syarat & ketentuan bertransaksi di Shopee Barokah:Objek yang diperjualbelikan boleh dalam bentuk barang dan/atau berbentuk hak, dan harus merupakan milik penjual secara  penuh (al-milk al-tam).Objek yang diperjualbelikan harus berupa barang dan/atau hak yang boleh dimanfaatkan menurut    syariah (mutaqawwim) serta boleh diperjualbelikan menurut prinsip Islam dan peraturan perundang­ undangan yang berlaku.Objek yang diperjualbelikan harus berwujud, pasti/tertentu dan dapat diserahterimakan (maqdur al-taslim) pada saat akad jual beli dilakukan, atau pada waktu yang disepakati.Objek yang diperjualbelikan tidak boleh merupakan benda haram, najis, maksiat, dan tidak bermanfaat.
Apakah artikel ini berguna?YaTidakArtikel Terkait[Pembayaran Shopee Barokah] Bagaimana cara mengaktifkan/menonaktifkan fitur Pembayaran Barokah?[Shopee Barokah] Bagaimana cara beramal melalui ZISWAF?[Promo Shopee Barokah] Mengapa cashback dari penggunaan Voucher Shopee Barokah belum diterima?"
[Baru di Shopee] Siapa Penjual Star atau Star+ Shopee?,"[Baru di Shopee] Siapa Penjual Star atau Star+ Shopee?Penjual StarPenjual Star Shopee adalah Penjual terpilih dan terpercaya yang telah terbukti memberikan pengalaman berbelanja yang lebih baik untuk Anda. Berikut adalah beberapa keunggulan yang dimiliki oleh Penjual Star:Memiliki penilaian toko yang tinggi.Memberikan pelayanan pelanggan yang baik.Mengirimkan pesanan dengan cepat dan efisien.Penjual Star dapat diidentifikasi dengan mudah melalui tag 
Anda dapat menemukan tag Penjual Star di halaman berikut:Halaman PencarianHalaman TokoHalaman ProdukAnda juga dapat menggunakan Filter Pencarian pada halaman pencarian untuk melihat produk dari Penjual Star:Penjual Star+ Shopee﻿Selain Penjual Star Shopee, Anda juga dapat menikmati standar layanan yang lebih maksimal dengan berbelanja di toko Penjual Star+ Shopee.  Penjual Star+ Shopee dapat diidentifikasi dengan mudah melalui  tag 
Anda dapat menemukan tag Penjual Star+ di halaman berikut:Halaman PencarianHalaman TokoHalaman ProdukAnda juga dapat menggunakan Filter Pencarian pada halaman pencarian untuk melihat produk dari Penjual Star+:Apakah artikel ini berguna?YaTidakArtikel Terkait[Baru di Shopee] Bagaimana cara membeli beberapa produk dari Penjual yang berbeda dalam pesanan yang sama?[Baru di Shopee] Bagaimana cara mencari produk di Shopee?"
[Shopee Live] Apa saja kategori streaming yang dianggap berkualitas rendah di Shopee Live?,"[Shopee Live] Apa saja kategori streaming yang dianggap berkualitas rendah di Shopee Live?Untuk memastikan pengalaman yang maksimal bagi para Penonton maupun kreator, terdapat beberapa kriteria yang dianggap sebagai konten yang berkualitas rendah dan harus dihindari oleh para host Shopee.
Streaming yang dianggap berkualitas rendah: Gambar atau suara yang burukGambar berkualitas burukGambar yang kurang baik (laggy ataupun gambar yang pecah).Tidak ada gambar atau layar yang gelap.Suara berkualitas rendahTidak terdapat suara host.Kualitas suara yang kurang baik karena suara berisik di sesi host.Perilaku host yang kurang professionalMenggunakan ClickbaitMenggunakan cover sesi foto yang tidak sesuai yang tidak sesuai dengan sesi streaming (contoh: foto merokok, foto minuman, maupun tokoh sensasional) sebagai clickbait pada sesi untuk menarik minat penonton.Kualitas konten yang kurang baik Melakukan streaming dengan menggunakan video yang sudah direkam sebagai bumper.Gambar statis dalam waktu yang lama.
Tidak terdapat host saat streamingTidak terlihat adanya host pada saat sesi berlangsung (tidak terlihat wajah) kecuali dengan tujuan untuk mempromosikan barang.Tidak terlihat bagian tubuh host yang menunjukan detail produk pada sesi streaming.Host membuka aplikasi lain sehingga menyebabkan live dijeda sementara.
Tidak terdapat promosi produkHost tidak mempromosikan produk atau tidak terlihat produk pada sesi streaming (hanya diam saja pada saat streaming).Hanya memperlihatkan muka host namun tidak terdapat produk.Tidak melakukan interaksi dengan penonton.Streaming yang tidak professional Host mengkonsumsi alkohol maupun merokok Host tidur-tiduran pada saat streaming. (kecuali bagian dari promosi produk).Tindakan kecuranganHost mempromosikan produk untuk meningkatkan interaksi (contoh: jual beli view, likes, dsb.)Host menjanjikan hal palsu yang tidak dapat dipertanggung jawabkan.Host melakukan duplikasi streamingHost menggunakan rekaman untuk sesi streaming.Berikut hal-hal yang harus dilakukan oleh para kreator:Saat streaming, gunakan judul dan sampul yang akurat dan jujur saat streaming langsung.Memastikan kamera dan koneksi internet berkualitas baik.Pastikan lingkungan memiliki penerangan yang baik. Pencahayaan yang baik membantu menjaga perhatian Penonton pada hal yang Anda ingin mereka fokuskan.Uji koneksi internet Anda sebelum LIVE. Pastikan koneksi internet tetap kuat dan konsisten.Lakukan pemeriksaan apakah mikrofon berfungsi dengan baik sebelum streaming.Streaming di tempat yang kondusif dengan sedikit kebisingan.Pastikan konten Anda. Pikirkan tentang apa yang ingin Anda lakukan sebelum melakukan LIVE dan pastikan bahwa Anda dapat hadir dan aktif sepanjang LIVE.Jika Anda tidak dapat melanjutkan LIVE, hentikan dan ucapkan selamat tinggal kepada penonton Anda.Sesi streaming harus merupakan sesi streaming yang baru dan bukan hasil rekaman.Sesi streaming harus fokus mempromosikan produk.
Anda akan menerima peringatan dan notifikasi seperti berikut jika melakukan pelanggaran pada saat sesi live streaming:
Apakah artikel ini berguna?YaTidak"
[Shopee Video] Apa itu Voucher Product Sample?,"[Shopee Video] Apa itu Voucher Product Sample?⚠️PentingPer 28 Februari 2024, program Voucher Product Sample akan dihentikan untuk sementara waktu hingga pemberitahuan lebih lanjut. KOL/Creator masih dapat bergabung ke fitur Sampel Gratis.﻿Voucher Product Sample adalah program di mana KOL/Creator yang sudah masuk menjadi Top Creator Shopee Video akan mendapatkan 1 (satu) voucher potongan harga hingga Rp50.000 dan gratis ongkir hingga Rp20.000 setiap hari Rabu Pk. 12:00 WIB. Voucher tersebut hanya berlaku pada produk yang terdapat pada landing page Voucher Product Sample seperti yang tertera pada gambar berikut:KOL/Creator yang sudah membeli produk menggunakan Voucher Product Sample diwajibkan untuk posting minimal 1 (satu) video di Shopee Video dan menautkan produk yang dibelinya pada fitur Keranjang Orange Shopee Video.KOL/Creator yang sudah memposting video sebelum hari Selasa Pk. 23:59 WIB berkesempatan untuk mendapatkan kembali Voucher Product Sample. KOL/Creator yang belum memposting video maka tidak akan mendapatkan kembali Voucher Product Sample sebelum memposting video review dari produk yang telah dibeli.
Apakah artikel ini berguna?YaTidak"
Shopee Meter,Shopee Meter[Baru di Shopee] Apa itu Shopee Meter?[Baru di Shopee] Apa itu Misi Shopee Meter?Apakah artikel ini berguna?YaTidak
[Baru di Shopee] Cara mencari produk di Shopee dengan Kode Produk,"[Baru di Shopee] Cara mencari produk di Shopee dengan Kode ProdukSekarang kamu bisa menggunakan Kode Produk untuk mencari berbagai produk melalui kolom pencarian Shopee.  Fitur “Kode Produk” adalah kode unik yang ditampilkan dalam bentuk 9 huruf (contoh: ABC-DEF-GHI) untuk mencari produk di Shopee. Kode Produk ini hanya dapat dibagikan oleh Shopee Affiliate untuk memudahkan pembeli mencari produk yang direkomendasikan oleh para Affiliate.  Berikut langkah-langkah mencari produk di Shopee dengan Kode Produk:Ketik Kode Produk di kotak pencarian melalui aplikasi Shopee. Klik “🔍"" 3. Produk yang diinginkan akan muncul dan pembeli dapat langsung membeli produk tersebut. Yuk, beli produk-produk favoritmu di Shopee pakai Kode Produk! Apakah artikel ini berguna?YaTidak"
[Shopee Meter] Apa itu Shopee Meter?,"[Shopee Meter] Apa itu Shopee Meter?Shopee Meter adalah produk yang mengevaluasi kelayakan kredit Pengguna berdasarkan aktivitas di Shopee. Shopee Meter dapat digunakan oleh seluruh Pengguna Shopee. Anda dapat mengaktivasi Shopee Meter dengan cara berikut: Pengguna SPayLater/SPinjamPilih Saya > pilih Shopee Meter > pilih Lihat Skor Saya > masukkan Kode Verifikasi (OTP) yang dikirim melalui WhatsApp/SMS > pilih Lanjut.Bukan Pengguna SPayLater/SPinjamPilih Saya > pilih Shopee Meter > pilih Lihat Skor Saya > masukkan Kode Verifikasi (OTP) yang dikirim melalui WhatsApp/SMS > pilih Lanjut > upload KTP Anda > ceklis untuk menyetujui Syarat dan Ketentuan Shopee Meter > pilih Konfirmasi > izinkan akses GPS > pilih Mulai Verifikasi Wajah.Apabila aktivasi telah berhasil, Anda akan menerima notifikasi. Pelajari informasi lebih lanjut mengenai Misi Shopee Meter untuk meningkatkan Shopee Meter. Keuntungan:Voucher Kredit: Anda dapat menggunakan Voucher Kredit untuk pembelanjaan di Shopee.Pengembalian Dana Lebih Cepat: Anda dapat menikmati pengembalian dana lebih cepat di Shopee. ⚠️CatatanShopee Meter dihitung per bulannya berdasarkan berbagai informasi dari Aktivitas Anda dan berbagai informasi yang relevan yang kami terima terkait akun Anda, misalnya profil, perilaku, produk langganan Anda di Shopee, dan informasi atau data Anda lainnya yang relevan di Shopee.OTP bersifat rahasia, dan Anda sepenuhnya bertanggung jawab atas penyalahgunaan atas OTP tersebut yang mungkin mengakibatkan kerugian.Apakah artikel ini berguna?YaTidakArtikel Terkait[Shopee Meter] Apa itu Misi Shopee Meter?"
[Shopee Live] Apa itu streaming menggunakan rekaman?,"[Shopee Live] Apa itu streaming menggunakan rekaman?Konten streaming menggunakan rekaman merupakan salah satu jenis konten berkualitas rendah yang berpotensi mengganggu ekosistem dan pengalaman Penonton.Untuk menciptakan ekosistem streaming yang sehat dan adil bagi semua Pengguna Shopee, tim Shopee akan mengambil tindakan tegas terhadap segala bentuk konten streaming yang melanggar ketentuan streaming Shopee Live, termasuk pelanggaran streaming menggunakan rekaman.Konten streaming menggunakan rekaman meliputi:Rekaman dari sesi live streaming yang telah disiarkan dimanapun dan oleh siapapun.Sesi streaming yang menggunakan Artificial Intelligence (AI).Rekaman foto, video, dan suara yang telah dipersiapkan untuk diunggah menjadi sesi live streaming.Berikut beberapa hal yang terjadi jika Anda streaming menggunakan rekaman:Sesi streaming akan langsung dihentikan.Akun tidak dapat melakukan live streaming melalui aplikasi maupun komputer/laptop secara temporer hingga permanen.Akun tidak diikutsertakan/dikeluarkan dalam Top Streamers Leaderboard maupun program dan kompetisi Shopee Live lainnya.Akun berpotensi mengalami penurunan performa stream.Akun Shopee berpotensi dibekukan.Shopee juga berhak untuk tidak membayarkan atau menarik kembali Komisi dan/atau Bonus selama periode tertentu yang telah dibayarkan apabila Shopee menilai, mempercayai, atau menemukan bukti bahwa Creator yang tergabung dalam Shopee Affiliate Program melakukan pelanggaran ketentuan live streaming Shopee Live.Shopee Live menangani pelanggaran dalam bentuk apa pun di platform dengan sangat serius dan mendorong semua Pengguna untuk mematuhi peraturannya, sehingga berkontribusi pada penciptaan pengalaman yang lebih memperkaya bagi semua orang di Shopee.Jika pengguna menemukan streaming menggunakan rekaman, mohon untuk melaporkan streaming tersebut lewat tombol Laporkan pada streaming Shopee Live.Apakah artikel ini berguna?YaTidak"
